tconst,location,latitude,longitude,titleType,primaryTitle
tt0840361,"105 Dorchester Street, Boston, Massachusetts, USA",42.3353933,-71.0462946,movie,The Town
tt0840361,"100 Salem Street, Boston, Massachusetts, USA",42.3642072,-71.0556234,movie,The Town
tt0840361,"Cambridge, Massachusetts, USA",42.3736158,-71.1097335,movie,The Town
tt0840361,"Melrose, Massachusetts, USA",42.4547874,-71.06547,movie,The Town
tt0361862,"Barcelona, Catalonia, Spain",41.3873974,2.168568,movie,The Machinist
tt0361862,Spain,40.46366700000001,-3.74922,movie,The Machinist
tt0361862,"Carrer d'Arquímedes, 2, 08918 Sant Adriá de Besós, Barcelona, Spain",41.42988340000001,2.2266953,movie,The Machinist
tt0361862,"Sant Adrià de Besòs, Barcelona, Catalonia, Spain",41.4223872,2.2212071,movie,The Machinist
tt0361862,"Tibidabo, Plaza del Tibidabo, 3-4, 08035 Barcelona, Spain",41.421632,2.1194491,movie,The Machinist
tt0361862,"Hospital del Torax. Terrassa. Barcelona, Spain",41.5936546,2.0069639,movie,The Machinist
tt2820852,"Abu Dhabi, United Arab Emirates",24.453884,54.3773438,movie,Furious 7
tt2820852,"Bloor St, Toronto, Ontario, Canada",43.6702395,-79.3867779,movie,Furious 7
tt2820852,"Woodland Park, Colorado, USA",38.9938808,-105.0569301,movie,Furious 7
tt2820852,"Atlanta, Georgia, USA",33.748752,-84.3876845,movie,Furious 7
tt2820852,"Teller County, Aspen Ranch, Colorado, USA",38.86115789999999,-105.1726816,movie,Furious 7
tt2820852,"Santa Clarita, California, USA",34.3916641,-118.542586,movie,Furious 7
tt2820852,"Social Circle, Georgia, USA",33.656228,-83.718231,movie,Furious 7
tt2820852,"Norcross, Georgia, USA",33.9411081,-84.2137443,movie,Furious 7
tt2820852,"Gwinnett County, Georgia, USA",33.9190653,-84.0167423,movie,Furious 7
tt2820852,"Oakland Cemetery, Atlanta, Georgia, USA",33.748535,-84.3729897,movie,Furious 7
tt2820852,"Clayton County, Georgia, USA",33.5571944,-84.375233,movie,Furious 7
tt2820852,"Montecristi, Dominican Republic",19.8473452,-71.6406361,movie,Furious 7
tt2820852,Azerbaijan,40.143105,47.576927,movie,Furious 7
tt2820852,"Los Angeles, California, USA",34.0549076,-118.242643,movie,Furious 7
tt2820852,"Stage 18, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",34.13811680000001,-118.3533783,movie,Furious 7
tt2820852,"Santa Clarita Studios - 25135 Anza Drive, Santa Clarita, California, USA",34.4316353,-118.5776097,movie,Furious 7
tt2820852,"Stage 44, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",34.13811680000001,-118.3533783,movie,Furious 7
tt2820852,"Mann Biomedical Park, Santa Clarita, California, USA",34.4551645,-118.5801816,movie,Furious 7
tt2820852,"Rykoff Building, 741 Terminal St, Los Angeles, California, USA",34.0339895,-118.2413157,movie,Furious 7
tt2820852,"Stage 28, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",34.13811680000001,-118.3533783,movie,Furious 7
tt2820852,"Malibu, California, USA",34.0380585,-118.6923438,movie,Furious 7
tt2820852,"722 E Kensington Rd, Los Angeles, California, USA",34.0688711,-118.2514469,movie,Furious 7
tt2820852,"Colorado, USA",39.5500507,-105.7820674,movie,Furious 7
tt2820852,"Willow Springs International Motorsports Park, Rosamond, California, USA",34.869957,-118.264432,movie,Furious 7
tt2820852,"Coachella Valley, California, USA",33.7666873,-116.3591772,movie,Furious 7
tt2820852,"California City, California, USA",35.125801,-117.9859038,movie,Furious 7
tt2820852,"Palmdale, California, USA",34.5794343,-118.1164613,movie,Furious 7
tt2820852,"Eloy, Arizona, USA",32.7558962,-111.554844,movie,Furious 7
tt2820852,United Arab Emirates,23.424076,53.847818,movie,Furious 7
tt2820852,Dominican Republic,18.735693,-70.162651,movie,Furious 7
tt2820852,"Rosamond, California, USA",34.8643808,-118.163307,movie,Furious 7
tt2820852,"California, USA",36.778261,-119.4179324,movie,Furious 7
tt2820852,"Georgia, USA",32.1574351,-82.907123,movie,Furious 7
tt2820852,USA,37.09024,-95.712891,movie,Furious 7
tt2820852,Canada,56.130366,-106.346771,movie,Furious 7
tt2820852,"Universal City, California, USA",34.1397694,-118.3505779,movie,Furious 7
tt0349903,"Haarlem, Noord-Holland, Netherlands",52.3873878,4.6462194,movie,Ocean's Twelve
tt0349903,"Cernobbio, Como, Lombardia, Italy",45.8403418,9.075353,movie,Ocean's Twelve
tt0349903,"'s-Gravenhage, Zuid-Holland, Netherlands",52.0704978,4.3006999,movie,Ocean's Twelve
tt0349903,"Amsterdam, Noord-Holland, Netherlands",52.3675734,4.9041389,movie,Ocean's Twelve
tt0349903,"Scopello, Castellammare del Golfo, Trapani, Sicily, Italy",38.0702839,12.8179128,movie,Ocean's Twelve
tt0349903,"KattenKabinet, Herengracht 497, 1017 BT Amsterdam, Netherlands",52.3656325,4.891547999999999,movie,Ocean's Twelve
tt0349903,"Bannockburn, Illinois, USA",42.1933581,-87.8664579,movie,Ocean's Twelve
tt0349903,"Chicago, Illinois, USA",41.8781136,-87.6297982,movie,Ocean's Twelve
tt0349903,"Winnetka, Illinois, USA",42.10808340000001,-87.735895,movie,Ocean's Twelve
tt0349903,"Highwood, Illinois, USA",42.1997468,-87.8092335,movie,Ocean's Twelve
tt0349903,"Lincolnwood, Illinois, USA",42.0044757,-87.7300594,movie,Ocean's Twelve
tt0349903,"Paris, France",48.856614,2.3522219,movie,Ocean's Twelve
tt0349903,"Waukegan, Illinois, USA",42.3636331,-87.8447938,movie,Ocean's Twelve
tt0349903,"Lake Forest Bank & Trust, Lake Forest, Illinois, USA",42.2227863,-87.8725527,movie,Ocean's Twelve
tt0349903,Netherlands,52.132633,5.291265999999999,movie,Ocean's Twelve
tt0349903,Monaco,43.73841760000001,7.424615799999999,movie,Ocean's Twelve
tt0349903,"Phyllis Morris - 8772 Beverly Blvd, West Hollywood, California, USA",34.0766529,-118.3831401,movie,Ocean's Twelve
tt0349903,"Las Vegas, Nevada, USA",36.171563,-115.1391009,movie,Ocean's Twelve
tt0349903,"Los Angeles, California, USA",34.0549076,-118.242643,movie,Ocean's Twelve
tt0349903,"Stage 21, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",34.1487314,-118.3386863,movie,Ocean's Twelve
tt0349903,France,46.227638,2.213749,movie,Ocean's Twelve
tt0349903,Italy,41.87194,12.56738,movie,Ocean's Twelve
tt0349903,USA,37.09024,-95.712891,movie,Ocean's Twelve
tt0349903,"Meyler 867 - 30065 Pacific Coast Hwy Malibu, California, USA",34.0910704,-119.0655202,movie,Ocean's Twelve
tt0349903,"Lake Como, Lombardia, Italy",46.0160486,9.2571676,movie,Ocean's Twelve
tt0349903,"Villa Erba, Cernobbio, Como, Lombardia, Italy",45.8390956,9.0746709,movie,Ocean's Twelve
tt0349903,"Beverly Hills, California, USA",34.0736204,-118.4003563,movie,Ocean's Twelve
tt0349903,"Cap Martin, Alpes-Maritimes, France",43.757808,7.473754,movie,Ocean's Twelve
tt0349903,"Casino de Monte Carlo, Monte Carlo, Monaco",43.7390972,7.428068100000001,movie,Ocean's Twelve
tt0349903,"Fiumicino, Lazio, Italy",41.7735409,12.2397117,movie,Ocean's Twelve
tt0349903,"Stage 15, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",34.1487314,-118.3386863,movie,Ocean's Twelve
tt0349903,"Stage 20, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",34.1487314,-118.3386863,movie,Ocean's Twelve
tt0109686,"Stanley Hotel - 333 Wonderview Avenue, Estes Park, Colorado, USA",40.382956,-105.518995,movie,Dumb and Dumber
tt0109686,"Salt Lake International Airport - 776 N. Terminal Drive, Salt Lake City, Utah, USA",40.7843175,-111.9848144,movie,Dumb and Dumber
tt0109686,"Salt Lake City, Utah, USA",40.7607793,-111.8910474,movie,Dumb and Dumber
tt0109686,"Providence, Rhode Island, USA",41.8239891,-71.4128343,movie,Dumb and Dumber
tt0109686,"Park City, Utah, USA",40.6460622,-111.4979729,movie,Dumb and Dumber
tt0109686,"Sandy, Utah, USA",40.5649781,-111.8389726,movie,Dumb and Dumber
tt0109686,"Smith Apartments - 228 S 300 E, Salt Lake City, Utah, USA",40.7642131,-111.8830014,movie,Dumb and Dumber
tt0109686,"Orem, Utah, USA",40.2968979,-111.6946475,movie,Dumb and Dumber
tt0109686,"845 W 24th St, Ogden, Utah, USA",41.2228291,-111.9997804,movie,Dumb and Dumber
tt0109686,"Provo, Utah, USA",40.2338438,-111.6585337,movie,Dumb and Dumber
tt0109686,"Breckenridge, Colorado, USA",39.4816537,-106.0383518,movie,Dumb and Dumber
tt0109686,"Estes Park, Colorado, USA",40.3772059,-105.5216651,movie,Dumb and Dumber
tt0109686,"Rhode Island, USA",41.5800945,-71.4774291,movie,Dumb and Dumber
tt0109686,"Aspen, Colorado, USA",39.1910983,-106.8175387,movie,Dumb and Dumber
tt0109686,"Lakepoint, Utah, USA",40.6807773,-112.2630024,movie,Dumb and Dumber
tt0109686,"Nebraska, USA",41.4925374,-99.9018131,movie,Dumb and Dumber
tt0109686,"Bear Mountain Chalet - 425 S. Main Street, Heber City, Utah, USA",40.5022286,-111.4129632,movie,Dumb and Dumber
tt0109686,"Copper Mountain, Colorado, USA",39.501419,-106.1516265,movie,Dumb and Dumber
tt0109686,"Pennsylvania, USA",41.2033216,-77.1945247,movie,Dumb and Dumber
tt0109686,"Fort Morgan, Colorado, USA",40.2502582,-103.7999509,movie,Dumb and Dumber
tt0109686,"23506 County Rd 5, Weldona, Colorado, USA",40.3545433,-104.0514624,movie,Dumb and Dumber
tt2381249,"Marrakech, Morocco",31.6225224,-7.9898258,movie,Mission: Impossible - Rogue Nation
tt2381249,"Agadir, Morocco",30.4280405,-9.5925444,movie,Mission: Impossible - Rogue Nation
tt2381249,"Hotel Tigmi, Marrakech, Morocco",31.6318402,-8.0561247,movie,Mission: Impossible - Rogue Nation
tt2381249,"Casablanca, Morocco",33.5731104,-7.5898434,movie,Mission: Impossible - Rogue Nation
tt2381249,"Rabat, Morocco",34.0083637,-6.8538748,movie,Mission: Impossible - Rogue Nation
tt2381249,"Staatsoper, Vienna, Austria",48.2034306,16.3692034,movie,Mission: Impossible - Rogue Nation
tt2381249,"Underground Station U4 Schottenring, Vienna, Austria",48.18339400000001,16.3283448,movie,Mission: Impossible - Rogue Nation
tt2381249,"St Pancras International Railway Station, Euston Road, St Pancras, London, Greater London, England, UK",51.5311162,-0.1258659,movie,Mission: Impossible - Rogue Nation
tt2381249,"Kuala Lumpur, Malaysia",3.1319197,101.6840589,movie,Mission: Impossible - Rogue Nation
tt2381249,"ExCel London, 1 Western Gateway, Royal Victoria Dock, London, Greater London, England, UK",51.50846010000001,0.029846,movie,Mission: Impossible - Rogue Nation
tt2381249,"The Honourable Society of the Middle Temple, The Treasury Office, Ashley Building, Middle Temple Lane, Temple, City of London, England, UK",51.5119286,-0.1110184,movie,Mission: Impossible - Rogue Nation
tt2381249,"Great Windmill Street, Soho, Westminster, Greater London, England, UK",51.5110784,-0.1341089,movie,Mission: Impossible - Rogue Nation
