tconst,location,latitude,longitude,titleType,primaryTitle
tt0113855,"Phra Nang Beach, Railay Bay, Krabi, Thailand",8.0059287,98.8374807,movie,Mortal Kombat
tt0113855,"Ayuthaya, Thailand",14.3692325,100.5876634,movie,Mortal Kombat
tt0113855,"Railay Beach, Ao Nang, Krabi, Thailand",8.011711,98.83777599999999,movie,Mortal Kombat
tt0113855,"West Railay Beach, Krabi, Thailand",8.0132105,98.8370889,movie,Mortal Kombat
tt0113855,"Santa Monica, California, USA",34.0194543,-118.4911912,movie,Mortal Kombat
tt0113855,Thailand,15.870032,100.992541,movie,Mortal Kombat
tt0113855,"Van Nuys, Los Angeles, California, USA",34.2012166,-118.466222,movie,Mortal Kombat
tt0113855,"Kaiser Steel Mill, Fontana, California, USA",34.0803387,-117.50268,movie,Mortal Kombat
tt0113855,"Marina del Rey, California, USA",33.9802893,-118.4517449,movie,Mortal Kombat
tt0113855,"Los Angeles, California, USA",34.0549076,-118.242643,movie,Mortal Kombat
tt0113855,"Fontana, California, USA",34.0922335,-117.435048,movie,Mortal Kombat
tt0113855,"California, USA",36.778261,-119.4179324,movie,Mortal Kombat
tt0113855,USA,37.09024,-95.712891,movie,Mortal Kombat
tt0113855,"Long Beach, California, USA",33.7700504,-118.1937395,movie,Mortal Kombat
tt1870479,"Columbia/Sunset Gower Studios - 1438 N. Gower Street, Hollywood, Los Angeles, California, USA",34.0965452,-118.3213654,tvSeries,The Newsroom
tt1870479,"Hollywood, Los Angeles, California, USA",34.0907315,-118.3266146,tvSeries,The Newsroom
tt1870479,"Los Angeles, California, USA",34.0549076,-118.242643,tvSeries,The Newsroom
tt1870479,"California, USA",36.778261,-119.4179324,tvSeries,The Newsroom
tt1870479,USA,37.09024,-95.712891,tvSeries,The Newsroom
tt1870479,"Stage 7, Columbia/Sunset Gower Studios - 1438 N. Gower Street, Hollywood, Los Angeles, California, USA",34.0965452,-118.3213654,tvSeries,The Newsroom
tt0164184,"Olympic Stadium - 4545 Pierre-de-Coubertin Avenue, Montréal, Québec, Canada",45.5577438,-73.5515478,movie,The Sum of All Fears
tt0164184,"Carp, Ontario, Canada",45.3490658,-76.0413221,movie,The Sum of All Fears
tt0164184,"Montréal, Québec, Canada",45.5018869,-73.56739189999999,movie,The Sum of All Fears
tt0164184,"Ottawa, Ontario, Canada",45.4215296,-75.69719309999999,movie,The Sum of All Fears
tt0164184,"Diefenbunker Canada's Cold War Museum, Carp, Ontario, Canada",45.35169,-76.04774689999999,movie,The Sum of All Fears
tt0164184,"Moscow, Russia",55.755826,37.6173,movie,The Sum of All Fears
tt0164184,"Maison Notman - 51 Sherbrooke Street West, Montréal, Québec, Canada",45.5118625,-73.5700081,movie,The Sum of All Fears
tt0164184,"Mont-Royal Park, Montréal, Québec, Canada",45.50156639999999,-73.59321790000001,movie,The Sum of All Fears
tt0164184,"Baltimore, Maryland, USA",39.2903848,-76.6121893,movie,The Sum of All Fears
tt0164184,"Death Valley National Park, California, USA",36.5322649,-116.9325408,movie,The Sum of All Fears
tt0164184,"Mojave Desert, California, USA",35.01099110000001,-115.4733551,movie,The Sum of All Fears
tt0164184,"Le Windsor - 1170 Rue Peel, Montréal, Québec, Canada",45.4991709,-73.5714316,movie,The Sum of All Fears
tt0164184,"Masonic Memorial Temple - 1850 Sherbrooke Street West, Montréal, Québec, Canada",45.4946939,-73.5829651,movie,The Sum of All Fears
tt0164184,"Rue de la Commune Est, Montréal, Québec, Canada",45.5094426,-73.5509035,movie,The Sum of All Fears
tt0164184,"Washington, District of Columbia, USA",38.9071923,-77.0368707,movie,The Sum of All Fears
tt0164184,"The Kremlin, Moscow, Russia",55.7509544,37.6175755,movie,The Sum of All Fears
tt0164184,"San Diego, California, USA",32.715738,-117.1610838,movie,The Sum of All Fears
tt0113118,"126th Street, Los Angeles, California, USA",33.9183451,-118.3195632,movie,Friday
tt0113118,"1418 W 126th St Los Angeles, California, USA",33.9181007,-118.3009707,movie,Friday
tt0113118,"Los Angeles, California, USA",34.0549076,-118.242643,movie,Friday
tt0113118,"Normandie Ave & W 121st St, West Athens, CA 90047, USA",33.9230563,-118.3003701,movie,Friday
tt0113118,"1433 W 126th Street, Los Angeles, California, USA",33.9184963,-118.3014625,movie,Friday
tt0113118,"1208 W 135th St, Gardena, California, USA",33.909045,-118.2967562,movie,Friday
tt14138650,"Westminster College, New Wilmington, Pennsylvania, USA",41.119859,-80.332286,movie,The Pale Blue Eye
